Thr,threshold_source,AUROC,AUPRC,ACC@thr,Prec@thr,Rec@thr,F1@thr,EER,TPR@FPR=0.01,algo,lang,attack
-1.2247448713915892,validation,0.5421777777777778,0.5305765535968056,0.5166666666666667,0.5094339622641509,0.9,0.6506024096385542,0.45666666666666667,0.0,KGW,amharic,back
0.24618298195866545,validation,0.4914222222222222,0.49614280912090425,0.47333333333333333,0.4649122807017544,0.35333333333333333,0.4015151515151515,0.5133333333333334,0.006666666666666667,KGW,chinese,back
0.1690308509457033,validation,0.4861111111111111,0.4966619893089969,0.49,0.48739495798319327,0.38666666666666666,0.4312267657992565,0.5233333333333333,0.006666666666666667,KGW,hindi,back
-0.1643989873053573,validation,0.5112222222222222,0.51572396096636,0.49666666666666665,0.4972972972972973,0.6133333333333333,0.5492537313432836,0.4766666666666667,0.0,KGW,spanish,back
1.028991510855053,validation,0.5539777777777778,0.5619527218510019,0.5266666666666666,0.5869565217391305,0.18,0.2755102040816326,0.4633333333333334,0.03333333333333333,KGW,swahili,back
-0.28205005022195667,validation,0.5394183445190157,0.535784358719902,0.5317725752508361,0.5201612903225806,0.86,0.6482412060301508,0.47827740492170023,0.006666666666666667,SIR,amharic,back
0.11165784239768982,validation,0.5558222222222222,0.5782428278118064,0.5366666666666666,0.5846153846153846,0.25333333333333335,0.35348837209302325,0.4633333333333334,0.013333333333333334,SIR,chinese,back
-0.007750039750879461,validation,0.5614222222222223,0.5623749096408062,0.5366666666666666,0.5419847328244275,0.47333333333333333,0.505338078291815,0.45333333333333337,0.013333333333333334,SIR,hindi,back
0.08531041639115737,validation,0.5817333333333332,0.6050385647197147,0.5366666666666666,0.5797101449275363,0.26666666666666666,0.365296803652968,0.43999999999999995,0.04,SIR,spanish,back
0.07137004818235125,validation,0.4663999999999999,0.4923626646683139,0.48333333333333334,0.47572815533980584,0.32666666666666666,0.38735177865612647,0.5166666666666666,0.006666666666666667,SIR,swahili,back
1.5666989036012806,validation,0.5908444444444445,0.6000924969974781,0.5433333333333333,0.7096774193548387,0.14666666666666667,0.2430939226519337,0.42333333333333334,0.02,Unigram,amharic,back
0.13483997249264842,validation,0.6081333333333333,0.6401817831339944,0.5666666666666667,0.5568181818181818,0.6533333333333333,0.6012269938650306,0.42000000000000004,0.06666666666666667,Unigram,chinese,back
-0.15249857033260467,validation,0.6074888888888887,0.5944492810561387,0.5833333333333334,0.5786163522012578,0.6133333333333333,0.5954692556634305,0.41333333333333333,0.02,Unigram,hindi,back
-0.17407765595569785,validation,0.6473111111111112,0.6143888431406814,0.61,0.5854922279792746,0.7533333333333333,0.6588921282798834,0.4033333333333333,0.013333333333333334,Unigram,spanish,back
-0.14907119849998599,validation,0.627488888888889,0.6131412036383704,0.58,0.572289156626506,0.6333333333333333,0.6012658227848101,0.4166666666666667,0.006666666666666667,Unigram,swahili,back
0.13782664991560437,validation,0.43257777777777784,0.4560616382922394,0.49,0.4634146341463415,0.12666666666666668,0.19895287958115182,0.5566666666666666,0.0,XSIR,amharic,back
-0.025291775330537704,validation,0.4643111111111111,0.48977045814881737,0.52,0.5340909090909091,0.31333333333333335,0.3949579831932773,0.5133333333333333,0.0,XSIR,chinese,back
0.01697250207265218,validation,0.4723111111111111,0.46692581378386366,0.49333333333333335,0.4880952380952381,0.2733333333333333,0.3504273504273504,0.5233333333333333,0.0,XSIR,hindi,back
-0.5407506473686384,validation,0.4435111111111111,0.4700154302409139,0.5033333333333333,0.5016835016835017,0.9933333333333333,0.6666666666666666,0.5233333333333333,0.0,XSIR,spanish,back
inf,validation,0.5110222222222223,0.5072889303278763,0.5,0.0,0.0,0.0,0.4733333333333334,0.0,XSIR,swahili,back
-0.07018624063435965,validation,0.5040666666666667,0.5243857255065036,0.5133333333333333,0.52,0.3466666666666667,0.416,0.52,0.006666666666666667,KGW,amharic,clsa
0.43133109281375365,validation,0.503,0.5044639659554162,0.5233333333333333,0.5346534653465347,0.36,0.4302788844621514,0.4666666666666667,0.0,KGW,chinese,clsa
0.0,validation,0.5462666666666667,0.5656764662897553,0.5333333333333333,0.5294117647058824,0.6,0.5625,0.45,0.0,KGW,hindi,clsa
-0.39056673294247163,validation,0.5844222222222222,0.5503170938852351,0.5566666666666666,0.5431472081218274,0.7133333333333334,0.6167146974063401,0.43999999999999995,0.0,KGW,spanish,clsa
-0.254000254000381,validation,0.5202888888888889,0.5224591799271683,0.5,0.5,0.6066666666666667,0.5481927710843374,0.4933333333333333,0.0,KGW,swahili,clsa
-0.28835905521460203,validation,0.5275555555555556,0.518660544561633,0.4866666666666667,0.4925925925925926,0.8866666666666667,0.6333333333333333,0.4733333333333334,0.006666666666666667,SIR,amharic,clsa
0.019036760835936577,validation,0.5314666666666668,0.5305169847991815,0.5133333333333333,0.5112359550561798,0.6066666666666667,0.5548780487804879,0.5,0.0,SIR,chinese,clsa
0.0153261520141779,validation,0.5676444444444444,0.578366316182511,0.5333333333333333,0.526595744680851,0.66,0.5857988165680473,0.44666666666666666,0.04,SIR,hindi,clsa
0.13991671428084373,validation,0.5774666666666667,0.60371449597472,0.5366666666666666,0.6666666666666666,0.14666666666666667,0.24043715846994534,0.4066666666666666,0.06,SIR,spanish,clsa
0.04790045247703302,validation,0.5444444444444445,0.5364077675195738,0.5366666666666666,0.5426356589147286,0.4666666666666667,0.5017921146953405,0.43666666666666665,0.0,SIR,swahili,clsa
1.6035674514745464,validation,0.5548222222222222,0.5494873061812994,0.5366666666666666,0.526829268292683,0.72,0.6084507042253521,0.4766666666666667,0.0,Unigram,amharic,clsa
