Algorithm,Language,Scenario,Source,AUROC,AUPRC,ACC@thr,Precision@thr,Recall@thr,F1@thr,EER,TPR@FPR=0.01,Threshold,Threshold source,Samples n_test,Samples n_pos_test,Samples n_neg_test,Samples n_val,Samples n_pos_val,Samples n_neg_val,Selection EER,Selection thr@EER,Error
KGW,Overall,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
KGW,Spanish,CLSA,clsa,0.5844222222222222,0.5503170938852351,0.5566666666666666,0.5431472081218274,0.7133333333333334,0.6167146974063401,0.43999999999999995,0.0,-0.39056673294247163,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.495,0.11867816581938533,
KGW,Spanish,CLSA+Backtranslation,backtranslation,0.5112222222222222,0.51572396096636,0.49666666666666665,0.4972972972972973,0.6133333333333333,0.5492537313432836,0.4766666666666667,0.0,-0.1643989873053573,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43999999999999995,0.0,
KGW,Spanish,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
KGW,Swahili,CLSA,clsa,0.5202888888888889,0.5224591799271683,0.5,0.5,0.6066666666666667,0.5481927710843374,0.4933333333333333,0.0,-0.254000254000381,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.52,-0.10482848367219183,
KGW,Swahili,CLSA+Backtranslation,backtranslation,0.5539777777777778,0.5619527218510019,0.5266666666666666,0.5869565217391305,0.18,0.2755102040816326,0.4633333333333334,0.03333333333333333,1.028991510855053,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.525,-0.1643989873053573,
KGW,Swahili,Paraphrase,paraphrase,0.9341555555555555,0.9505756511641638,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.14666666666666664,0.6466666666666666,1.4169838169,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.125,1.1188618556,
SIR,Amharic,CLSA,clsa,0.5275555555555556,0.518660544561633,0.4866666666666667,0.4925925925925926,0.8866666666666667,0.6333333333333333,0.4733333333333334,0.006666666666666667,-0.28835905521460203,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.52,-0.1878671860549508,
SIR,Amharic,CLSA+Backtranslation,backtranslation,0.5394183445190157,0.535784358719902,0.5317725752508361,0.5201612903225806,0.86,0.6482412060301508,0.47827740492170023,0.006666666666666667,-0.28205005022195667,validation,299.0,150.0,149.0,199.0,99.0,100.0,0.5025252525252525,-0.07142893224954605,
SIR,Amharic,Paraphrase,paraphrase,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.102796302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.0904269064,
SIR,Chinese,CLSA,clsa,0.5314666666666668,0.5305169847991815,0.5133333333333333,0.5112359550561798,0.6066666666666667,0.5548780487804879,0.5,0.0,0.019036760835936577,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43000000000000005,0.0664067856873138,
SIR,Chinese,CLSA+Backtranslation,backtranslation,0.5558222222222222,0.5782428278118064,0.5366666666666666,0.5846153846153846,0.25333333333333335,0.35348837209302325,0.4633333333333334,0.013333333333333334,0.11165784239768982,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.42000000000000004,0.02896577850827631,
SIR,Chinese,Paraphrase,paraphrase,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.102796302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.0904269064,
SIR,Hindi,CLSA,clsa,0.5676444444444444,0.578366316182511,0.5333333333333333,0.526595744680851,0.66,0.5857988165680473,0.44666666666666666,0.04,0.0153261520141779,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43000000000000005,0.05883848303701819,
SIR,Hindi,CLSA+Backtranslation,backtranslation,0.5614222222222223,0.5623749096408062,0.5366666666666666,0.5419847328244275,0.47333333333333333,0.505338078291815,0.45333333333333337,0.013333333333333334,-0.007750039750879461,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.43500000000000005,-0.030303917147896507,
SIR,Hindi,Paraphrase,paraphrase,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.102796302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.0904269064,
SIR,Overall,Baseline,baseline,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.10279630198883301,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.09042690640286401,
SIR,Spanish,CLSA,clsa,0.5774666666666667,0.60371449597472,0.5366666666666666,0.6666666666666666,0.14666666666666667,0.24043715846994534,0.4066666666666666,0.06,0.13991671428084373,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.515,-0.051721621500818354,
SIR,Spanish,CLSA+Backtranslation,backtranslation,0.5817333333333332,0.6050385647197147,0.5366666666666666,0.5797101449275363,0.26666666666666666,0.365296803652968,0.43999999999999995,0.04,0.08531041639115737,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.47,-0.04149770598078883,
SIR,Spanish,Paraphrase,paraphrase,0.8842666666666665,0.9112192048369955,0.82,0.8478260869565217,0.78,0.8125,0.18333333333333332,0.49333333333333335,0.102796302,validation,300.0,150.0,150.0,200.0,100.0,100.0,0.17000000000000004,0.0904269064,
